Family	Alt	AN	Name	EC	Organism	Cell-Loc	AAs	Structure	PDB	Km	Vmax	Kcat
1-1-1	ScAII	P0CZ17	ASP21_YEAST	3.5.1.1	Saccharomyces cerevisiae	Secreted	362	-	-	0.27	42	-
1-1-1	ScAII	P0CX77	ASP22_YEAST	3.5.1.1	Saccharomyces cerevisiae	Secreted	362	-	-	0.27	42	-
1-1-1	ScAII	P0CX78	ASP23_YEAST	3.5.1.1	Saccharomyces cerevisiae	Secreted	362	-	-	0.27	42	-
1-1-1	ScAII	P0CX79	ASP24_YEAST	3.5.1.1	Saccharomyces cerevisiae	Secreted	362	-	-	0.27	42	-
1-1-1	-	P87015	ASPG1_SCHPO	3.5.1.1	Schizosaccharomyces pombe	Secreted, cell wall	360	-	-	-	-	-
1-1-1	ScAI	P38986	ASPG1_YEAST	3.5.1.1	Saccharomyces cerevisiae	Cytoplasm	381	-	-	0.075	-	-
1-1-1	-	Q9UTS7	ASPG2_SCHPO	3.5.1.1	Schizosaccharomyces pombe	Secreted, cell wall	356	-	-	-	-	-
1-1-1	-	Q8NKC0	ASPG3_SCHPO	3.5.1.1	Schizosaccharomyces pombe	Secreted, cell wall	360	-	-	-	-	-
1-1-1	-	Q8TFF8	ASPG4_SCHPO	3.5.1.1	Schizosaccharomyces pombe	Secreted, cell wall	356	-	-	-	-	-
1-1-3	-	O34482	ASPG2_BACSU	3.5.1.1	Bacillus subtilis	-	375	-	-	0.43	-	-
1-1-3	EcAII	P00805	ASPG2_ECOLI	3.5.1.1	Escherichia coli	Periplasm	348	Homo tetramer	3ECA PDBs	0.015	-	24
1-1-3	-	P43843	ASPG2_HAEIN	3.5.1.1	Haemophilus influenzae	Periplasm	349	-	-	-	-	-
1-1-3	ErA, type II	P06608	ASPG_DICCH	3.5.1.1	Dickeya chrysanthemi	-	348	Homo tetramer	5F52 PDBs	0.058	-	565
1-1-3	HpA, type II	Q9ZLB9	ASPG_HELPJ	3.5.1.1	Helicobacter pylori	Cytoplasm	332	Homo tetramer	2WLT PDBs	0.29	31.22	19.26
1-1-3	HpA, type II	O25424	ASPG_HELPY	3.5.1.1	Helicobacter pylori	Cytoplasm	330	-	-	-	-	-
1-1-3	WsA, type II	P50286	ASPG_WOLSU	3.5.1.1	Wolinella succinogenes	Cytoplasm	330	Homo tetramer	1WSA PDBs	0.0217	-	97.8
1-1-3	-	P10172	ASPQ_ACIGL	3.5.1.38	Acinetobacter glutaminasificans	Periplasm	331	Homo tetramer	1AGX	-	-	-
1-1-3	-	Q9I407	ASPQ_PSEAE	3.5.1.38	Pseudomonas aeruginosa	Periplasm	362	-	-	-	-	-
1-1-3	-	O68897	ASPQ_PSEFA	3.5.1.38	Pseudomonas fluorescens	Periplasm	362	-	-	-	-	-
1-1-3	-	Q88K39	ASPQ_PSEPK	3.5.1.38	Pseudomonas putida	Periplasm	362	-	-	-	-	-
1-1-3	-	P10182	ASPQ_PSES7	3.5.1.38	Pseudomonas sp.	Periplasm	337	Homo tetramer	3PGA PDBs	-	-	-
1-2-5	BlA, type I	P30363	ASPG_BACLI	3.5.1.1	Bacillus licheniformis	Cytoplasm	322	-	-	-	-	-
1-2-6	-	Q9RRX9	ASPG_DEIRA	3.5.1.1	Deinococcus radiodurans	Cytoplasm	322	-	-	-	-	-
1-2-6	-	P63628	ASPG_MYCBO	3.5.1.1	Mycobacterium bovis	Secreted	315	-	-	-	-	-
1-2-6	-	Q9X7E6	ASPG_MYCLE	3.5.1.1	Mycobacterium leprae	Secreted	310	-	-	-	-	-
1-2-6	-	P9WPX4	ASPG_MYCTO	3.5.1.1	Mycobacterium tuberculosis	Secreted	315	-	-	-	-	-
1-2-6	-	P9WPX5	ASPG_MYCTU	3.5.1.1	Mycobacterium tuberculosis	Secreted	315	Dimer	-	0.38 8.3 19.57	74.08 797.7 1587.7	80.7 869.4 1732.5
1-4-11	-	P26900	ASPG1_BACSU	3.5.1.1	Bacillus subtilis	Cytoplasm	329	-	-	1.579	-	-
1-4-11	-	Q8TZE8	ASPG_PYRFU	3.5.1.1	Pyrococcus furiosus	-	326	Homo dimer / tetramer	5CBP PDBs	12	-	870
1-4-11	-	Q5JIW4	ASPG_THEKO	3.5.1.1	Thermococcus kodakarensis	-	328	Homo dimer	5OT0	2.6 5.5	1121 3300	694
1-4-12	-	Q9Y9T8	GATD_AERPE	6.3.5.-	Aeropyrum pernix	-	427	-	-	-	-	-
1-4-12	-	O29380	GATD_ARCFU	6.3.5.-	Archaeoglobus fulgidus	-	418	-	-	-	-	-
1-4-12	-	B0R6H4	GATD_HALS3	6.3.5.-	Halobacterium salinarum	-	427	-	-	-	-	-
1-4-12	-	Q9HP20	GATD_HALSA	6.3.5.-	Halobacterium salinarum	-	427	-	-	-	-	-
1-4-12	-	Q18GL3	GATD_HALWD	6.3.5.-	Haloquadratum walsbyi	-	442	-	-	-	-	-
1-4-12	-	Q8TR66	GATD_METAC	6.3.5.-	Methanosarcina acetivorans	-	424	-	-	-	-	-
1-4-12	-	Q46GJ6	GATD_METBF	6.3.5.-	Methanosarcina barkeri	-	424	-	-	-	-	-
1-4-12	-	Q12X65	GATD_METBU	6.3.5.-	Methanococcoides burtonii	-	415	-	-	-	-	-
1-4-12	-	Q60331	GATD_METJA	6.3.5.-	Methanocaldococcus jannaschii	-	417	-	-	-	-	-
1-4-12	-	Q8TV84	GATD_METKA	6.3.5.-	Methanopyrus kandleri	-	458	-	-	-	-	-
1-4-12	-	A4FWR5	GATD_METM5	6.3.5.-	Methanococcus maripaludis	-	418	-	-	-	-	-
1-4-12	-	A9AA46	GATD_METM6	6.3.5.-	Methanococcus maripaludis	-	418	-	-	-	-	-
1-4-12	-	A6VGK5	GATD_METM7	6.3.5.-	Methanococcus maripaludis	-	418	-	-	-	-	-
1-4-12	-	Q8PUM7	GATD_METMA	6.3.5.-	Methanosarcina mazei	-	425	-	-	-	-	-
1-4-12	-	P61400	GATD_METMP	6.3.5.-	Methanococcus maripaludis	-	418	-	-	-	-	-
1-4-12	-	A5UK11	GATD_METS3	6.3.5.-	Methanobrevibacter smithii	-	436	-	-	-	-	-
1-4-12	-	A4YHH3	GATD_METS5	6.3.5.-	Metallosphaera sedula	-	439	-	-	-	-	-
1-4-12	-	Q2NEH1	GATD_METST	6.3.5.-	Methanosphaera stadtmanae	-	438	-	-	-	-	-
1-4-12	-	O26802	GATD_METTH	6.3.5.-	Methanothermobacter thermautotrophicus	-	435	Hetero tetramer	2D6F	-	-	-
1-4-12	-	A6UPR4	GATD_METVS	6.3.5.-	Methanococcus vannielii	-	426	-	-	-	-	-
1-4-12	-	P61401	GATD_NANEQ	6.3.5.-	Nanoarchaeum equitans	-	392	-	-	-	-	-
1-4-12	-	Q9V0T9	GATD_PYRAB	6.3.5.-	Pyrococcus abyssi	-	438	Hetero tetramer	1ZQ1	-	-	-
1-4-12	-	Q8ZY04	GATD_PYRAE	6.3.5.-	Pyrobaculum aerophilum	-	417	-	-	-	-	-
1-4-12	-	Q8U0X0	GATD_PYRFU	6.3.5.-	Pyrococcus furiosus	-	438	-	-	-	-	-
1-4-12	-	O59132	GATD_PYRHO	6.3.5.-	Pyrococcus horikoshii	-	438	-	-	-	-	-
1-4-12	-	Q97ZH5	GATD_SACS2	6.3.5.-	Saccharolobus solfataricus	-	444	-	-	-	-	-
1-4-12	-	Q4J955	GATD_SULAC	6.3.5.-	Sulfolobus acidocaldarius	-	446	-	-	-	-	-
1-4-12	-	C3N5E7	GATD_SULIA	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
1-4-12	-	C4KH13	GATD_SULIK	6.3.5.-	Sulfolobus islandicus	-	445	-	-	-	-	-
