Family	Alt	AN	Name	EC	Organism	Cell-Loc	AAs	Structure	PDB	Km	Vmax	Kcat
1-1-1	-			3.5.1.1	Cladosporium sp.	-	370	-	-	100	-	-
1-1-1	-	A0A4D6C6W0		3.5.1.1	Cobetia amphilecti	-	316	-	-	2.05	11641	-
1-1-1	-	C5E3N2		3.5.1.1	Lachancea thermotolerans	-	375	-	-	11.67	-	312.45
1-1-1	ScAII	P0CZ17	ASP21_YEAST	3.5.1.1	Saccharomyces cerevisiae	Secreted	362	-	-	0.27	42	-
1-1-1	ScAI	P38986	ASPG1_YEAST	3.5.1.1	Saccharomyces cerevisiae	Cytoplasm	381	-	-	0.075	-	-
1-1-3	-	P10172	ASPQ_ACIGL	3.5.1.38	Acinetobacter glutaminasificans	Periplasm	331	Homo tetramer	1AGX	-	-	-
1-1-3	-	Q5E4M4		3.5.1.1	Aliivibrio fischeri	-	353	-	-	1.2275	-	-
1-1-3	-	UPI0002D9BB57		3.5.1.1	Bacillus altitudinis	-	382	-	-	0.0147	-	-
1-1-3	-	A0A0P7GBY8		3.5.1.1	Bacillus australimaris	-	382	-	-	0.0456	-	74.6
1-1-3	-	A0A2P8QZG9		3.5.1.1	Campylobacter blaseri	-	347	-	-	1.91	-	13.94
1-1-3	-	Q0PC96		3.5.1.1	Campylobacter jejuni	-	331	Homo tetramer	3NXK	-	-	-
1-1-3	ErA, type II	P06608	ASPG_DICCH	3.5.1.1	Dickeya chrysanthemi	-	348	Homo tetramer	5F52 PDBs	0.058	-	565
1-1-3	EcAII	P00805	ASPG2_ECOLI	3.5.1.1	Escherichia coli	Periplasm	348	Homo tetramer	3ECA PDBs	0.015	-	24
1-1-3	-	A0A4Q0YCX3		3.5.1.1	Halarcobacter ebronensis	-	349	-	-	4.27	-	16.55
1-1-3	HpA, type II	Q9ZLB9	ASPG_HELPJ	3.5.1.1	Helicobacter pylori	Cytoplasm	332	Homo tetramer	2WLT PDBs	0.29	31.22	19.26
1-1-3	-	UPI0010229EFA		3.5.1.1	Iodobacter sp.	-	355	-	-	1.2	-	82
1-1-3	-	I3DG54		3.5.1.1	Pasteurella bettyae	-	349	-	-	3.98	-	69.12
1-1-3	-	Q7WWK9		3.5.1.1	Pectobacterium atrosepticum	-	349	Homo tetramer	2HLN 90%	0.098	732	1600
1-1-3	-	P10182	ASPQ_PSES7	3.5.1.38	Pseudomonas sp.	Periplasm	337	Homo tetramer	3PGA PDBs	-	-	-
1-1-3	-			3.5.1.38	Pseudomonas sp.	-	366	-	-	0.56	-	18.06
1-1-3	-	A0A3R9P3J0		3.5.1.1	Salibacterium salarium	-	359	-	-	5.59	-	8.87
1-1-3	-	A0A0H2WSV5		3.5.1.1	Salmonella paratyphi	-	348	-	-	28	-	39.6
1-1-3	-	A0A240C149		3.5.1.1	Serratia ficaria	-	349	-	-	1.42	-	-
1-1-3	-	A0A1D8KVW6		3.5.1.1	Serratia marcescens	-	348	-	-	2.0	-	15.5
1-1-3	-	A0A2D3WDS0		3.5.1.1	Sulfurospirillum cavolei	-	348	-	-	0.63	-	10.14
1-1-3	-	D1B4K0		3.5.1.1	Sulfurospirillum deleyianum	-	348	-	-	1.80	-	20.16
1-1-3	WsA, type II	P50286	ASPG_WOLSU	3.5.1.1	Wolinella succinogenes	Cytoplasm	330	Homo tetramer	1WSA PDBs	0.0217	-	97.8
1-1-3	-	D3VBI4		3.5.1.1	Xenorhabdus nematophila	-	347	-	-	4.27	-	6.43
1-1-3	-	Q66CJ2		3.5.1.1	Yersinia pseudotuberculosis	-	345	-	-	0.017	-	-
