Table_Type	Family	Family_Link	Family_Note	Family_Note_Link	Family_Indicator	Alt	Alt_Note	Alt_Note_Link	Alt_Indicator	AN	AN_Link	AN_Note	AN_Note_Link	AN_Indicator	Name	Name_Note	Name_Note_Link	Name_Indicator	EC	EC_Links	EC_Note	EC_Note_Link	EC_Indicator	Organism	Organism_Note	Organism_Note_Link	Organism_Indicator	Cell_Loc	Cell_Loc_Note	Cell_Loc_Note_Link	Cell_Loc_Indicator	AAs	AAs_Note	AAs_Note_Link	AAs_Indicator	Structure	Structure_Note	Structure_Note_Link	Structure_Indicator	PDB_IDs	PDB_RCSB_Links	PDB_UniProt_Links	PDB_Note	PDB_Indicator	Km	Km_DOIs	Km_Note	Km_Indicator	Vmax	Vmax_DOIs	Vmax_Note	Vmax_Indicator	Kcat	Kcat_DOIs	Kcat_Note	Kcat_Indicator
ESP	1-1-1	/html-files/class1-family1.html				-						Sequence available in publication. No similar sequences could be found in databases. As presented, lacks the critical conserved Motif 1.		i					3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Cladosporium sp.				-				370				-									100	https://doi.org/10.1007/s11274-012-1213-0										
ESP	1-1-1	/html-files/class1-family1.html				-				A0A4D6C6W0	https://www.uniprot.org/uniprotkb/A0A4D6C6W0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Cobetia amphilecti				-				316				-									2.05	https://doi.org/10.1016/j.ijbiomac.2019.10.258			11641	https://doi.org/10.1016/j.ijbiomac.2019.10.258						
ESP	1-1-1	/html-files/class1-family1.html				-				C5E3N2	https://www.uniprot.org/uniprotkb/C5E3N2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Lachancea thermotolerans				-				375				-									11.67	https://doi.org/10.1016/j.bej.2023.108806							312.45	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-1	/html-files/class1-family1.html				ScAII	Identical sequences: P0CZ17, P0CX77, P0CX78, P0CX79		i	P0CZ17	https://www.uniprot.org/uniprotkb/P0CZ17/entry				ASP21_YEAST				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Saccharomyces cerevisiae				Secreted				362				-									0.27	https://doi.org/10.1016/s0021-9258(17)38144-9 			42	https://doi.org/10.1016/s0021-9258(17)38144-9 						
ESP	1-1-1	/html-files/class1-family1.html				ScAI				P38986	https://www.uniprot.org/uniprotkb/P38986/entry				ASPG1_YEAST				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Saccharomyces cerevisiae				Cytoplasm				381				-									0.075	https://doi.org/10.1038/srep36239	K_0.5, allosteric enzyme	i								
ESP	1-1-3	/html-files/class1-family3.html				-				P10172	https://www.uniprot.org/uniprotkb/P10172/entry				ASPQ_ACIGL				3.5.1.38	https://enzyme.expasy.org/EC/3.5.1.38				Acinetobacter glutaminasificans				Periplasm				331				Homo tetramer				1AGX	https://www.rcsb.org/structure/1AGX															
ESP	1-1-3	/html-files/class1-family3.html				-				Q5E4M4	https://www.uniprot.org/uniprotkb/Q5E4M4/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Aliivibrio fischeri				-				353				-									1.2275	https://doi.org/10.1007/s00449-022-02769-x										
ESP	1-1-3	/html-files/class1-family3.html				-				UPI0002D9BB57	https://www.uniprot.org/uniparc/UPI0002D9BB57/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus altitudinis				-				382				-									0.0147	https://doi.org/10.1093/jambio/lxae062										
ESP	1-1-3	/html-files/class1-family3.html				-				A0A0P7GBY8	https://www.uniprot.org/uniprotkb/A0A0P7GBY8/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus australimaris				-				382				-									0.0456	https://doi.org/10.1016/j.ijbiomac.2022.06.110	Sequence may not be exact match	i					74.6	https://doi.org/10.1016/j.ijbiomac.2022.06.110	Sequence may not be exact match	i
ESP	1-1-3	/html-files/class1-family3.html				-				A0A2P8QZG9	https://www.uniprot.org/uniprotkb/A0A2P8QZG9/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Campylobacter blaseri				-				347				-									1.91	https://doi.org/10.1016/j.bej.2023.108806							13.94	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				-				Q0PC96	https://www.uniprot.org/uniprotkb/Q0PC96/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Campylobacter jejuni				-				331				Homo tetramer				3NXK	https://www.rcsb.org/structure/3NXK															
ESP	1-1-3	/html-files/class1-family3.html				ErA, type II				P06608	https://www.uniprot.org/uniprotkb/P06608/entry				ASPG_DICCH				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Dickeya chrysanthemi				-				348				Homo tetramer				5F52	https://www.rcsb.org/structure/5F52	https://www.uniprot.org/uniprotkb/P06608/entry#structure			0.058	https://doi.org/10.1111/j.1742-4658.2009.06910.x	Sequence may not be exact match	i					565	https://doi.org/10.1007/s12033-014-9766-9	Sequence may not be exact match. K_cat may not correspond to K_m.	i
ESP	1-1-3	/html-files/class1-family3.html				EcAII				P00805	https://www.uniprot.org/uniprotkb/P00805/entry				ASPG2_ECOLI				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Escherichia coli				Periplasm				348				Homo tetramer				3ECA	https://www.rcsb.org/structure/3eca	https://www.uniprot.org/uniprotkb/P00805/entry#structure			0.015	https://doi.org/10.1110/ps.9.10.2009							24	https://doi.org/10.1110/ps.9.10.2009		
ESP	1-1-3	/html-files/class1-family3.html				-				A0A4Q0YCX3	https://www.uniprot.org/uniprotkb/A0A4Q0YCX3/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Halarcobacter ebronensis				-				349				-									4.27	https://doi.org/10.1016/j.bej.2023.108806							16.55	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				HpA, type II				Q9ZLB9	https://www.uniprot.org/uniprotkb/Q9ZLB9/entry				ASPG_HELPJ				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Helicobacter pylori	(strain J99 / ATCC 700824) (Campylobacter pylori J99)		i	Cytoplasm				332				Homo tetramer				PDBs		https://www.uniprot.org/uniprotkb/Q9ZLB9/entry#structure			0.29	https://doi.org/10.1371/journal.pone.0117025	S_0.5, Sequence may not be exact match	i	31.22	https://doi.org/10.1371/journal.pone.0117025	Sequence may not be exact match	i	19.26	https://doi.org/10.1371/journal.pone.0117025	Sequence may not be exact match	i
ESP	1-1-3	/html-files/class1-family3.html				-				UPI0010229EFA	https://www.uniprot.org/uniparc/UPI0010229EFA/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Iodobacter sp.				-				355				-									1.2	https://doi.org/10.1007/s11756-024-01624-6							82	https://doi.org/10.1007/s11756-024-01624-6		
ESP	1-1-3	/html-files/class1-family3.html				-				I3DG54	https://www.uniprot.org/uniprotkb/I3DG54/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pasteurella bettyae				-				349				-									3.98	https://doi.org/10.1016/j.bej.2023.108806							69.12	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				-				Q7WWK9	https://www.uniprot.org/uniprotkb/Q7WWK9/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pectobacterium atrosepticum	(Erwinia carotovora subsp. atroseptica)		i	-				349				Homo tetramer				2HLN	https://www.rcsb.org/structure/2HLN				0.098	https://doi.org/10.1042/BA20030138			732	https://doi.org/10.1042/BA20030138			1600	https://doi.org/10.1042/BA20030138		
ESP	1-1-3	/html-files/class1-family3.html				-				P10182	https://www.uniprot.org/uniprotkb/P10182/entry				ASPQ_PSES7				3.5.1.38	https://enzyme.expasy.org/EC/3.5.1.38				Pseudomonas sp.				Periplasm				337				Homo tetramer				3PGA	https://www.rcsb.org/structure/3PGA	https://www.uniprot.org/uniprotkb/P10182/entry#structure														
ESP	1-1-3	/html-files/class1-family3.html				-						Exact sequence available in publication		i					3.5.1.38	https://enzyme.expasy.org/EC/3.5.1.38				Pseudomonas sp.	Himalayan Pseudomonas sp. PCH44		i	-				366				-									0.56	https://doi.org/10.1007/s13205-022-03224-0							18.06	https://doi.org/10.1007/s13205-022-03224-0		
ESP	1-1-3	/html-files/class1-family3.html				-				A0A3R9P3J0	https://www.uniprot.org/uniprotkb/A0A3R9P3J0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Salibacterium salarium	Bacillus salarius		i	-				359				-									5.59	https://doi.org/10.1016/j.bej.2023.108806							8.87	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				-				A0A0H2WSV5	https://www.uniprot.org/uniprotkb/A0A0H2WSV5/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Salmonella paratyphi				-				348				-									28	https://doi.org/10.1016/j.ijbiomac.2024.135458							39.6	https://doi.org/10.1016/j.ijbiomac.2024.135458		
ESP	1-1-3	/html-files/class1-family3.html				-				A0A240C149	https://www.uniprot.org/uniprotkb/A0A240C149/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Serratia ficaria				-				349				-									1.42	https://doi.org/10.1016/j.bej.2023.108806										
ESP	1-1-3	/html-files/class1-family3.html				-				A0A1D8KVW6	https://www.uniprot.org/uniprotkb/A0A1D8KVW6/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Serratia marcescens	From soil metagenomic libraries generated from forest soil. Possibly Serratia marcescens (estimation).		i	-				348				-									2.0	https://doi.org/10.1007/s10529-017-2470-7							15.5	https://doi.org/10.1007/s10529-017-2470-7		
ESP	1-1-3	/html-files/class1-family3.html				-				A0A2D3WDS0	https://www.uniprot.org/uniprotkb/A0A2D3WDS0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Sulfurospirillum cavolei				-				348				-									0.63	https://doi.org/10.1016/j.bej.2023.108806							10.14	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				-				D1B4K0	https://www.uniprot.org/uniprotkb/D1B4K0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Sulfurospirillum deleyianum				-				348				-									1.80	https://doi.org/10.1016/j.bej.2023.108806							20.16	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				WsA, type II				P50286	https://www.uniprot.org/uniprotkb/P50286/entry				ASPG_WOLSU				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Wolinella succinogenes				Cytoplasm				330				Homo tetramer				1WSA	https://www.rcsb.org/structure/1WSA	https://www.uniprot.org/uniprotkb/P50286/entry#structure			0.0217	https://doi.org/10.1038/srep41643							97.8	https://doi.org/10.1038/srep41643		
ESP	1-1-3	/html-files/class1-family3.html				-				D3VBI4	https://www.uniprot.org/uniprotkb/D3VBI4/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Xenorhabdus nematophila				-				347				-									4.27	https://doi.org/10.1016/j.bej.2023.108806							6.43	https://doi.org/10.1016/j.bej.2023.108806		
ESP	1-1-3	/html-files/class1-family3.html				-				Q66CJ2	https://www.uniprot.org/uniprotkb/Q66CJ2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Yersinia pseudotuberculosis				-				345				-									0.017	https://doi.org/10.1016/j.pep.2011.12.005										
ESP	1-2-5	/html-files/class1-family5.html				-				A0A3Q8UES2	https://www.uniprot.org/uniprotkb/A0A3Q8UES2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus cereus				-				325				Homo dimer	Determined by gel filtration chromatography		i						9.38	https://doi.org/10.1016/j.jbiosc.2018.09.007							63.6	https://doi.org/10.1016/j.jbiosc.2018.09.007		
ESP	1-2-5	/html-files/class1-family5.html				-	Very similar sequence to ASPG_BACLI, but not identical		i	A0A6I7U6Y2	https://www.uniprot.org/uniprotkb/A0A6I7U6Y2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus licheniformis				-				322				Homo dimer				7CB4	https://www.rcsb.org/structure/7CB4	https://www.uniprot.org/uniprotkb/A0A6I7U6Y2/entry#structure			2.96	https://doi.org/10.1021/acs.jafc.2c05712										
ESP	1-2-5	/html-files/class1-family5.html				-	Very similar sequence to ASPG_BACLI, but not identical		i	A0A3G1GZN5	https://www.uniprot.org/uniprotkb/A0A3G1GZN5/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus licheniformis				-				322				-									0.0106	https://doi.org/10.15171/bi.2019.03							23.96	https://doi.org/10.15171/bi.2019.03		
ESP	1-2-5	/html-files/class1-family5.html				-				Q5KXR8	https://www.uniprot.org/uniprotkb/Q5KXR8/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Geobacillus kaustophilus				-				323				-									0.487	https://doi.org/10.1016/j.pep.2022.106146			243.9	https://doi.org/10.1016/j.pep.2022.106146						
ESP	1-2-5	/html-files/class1-family5.html				-				A0A7U9P5Z0	https://www.uniprot.org/uniprotkb/A0A7U9P5Z0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Geobacillus thermopakistaniensis				-				323				-	Biochemical characterization revealed that ASNaseGt existed in an oligomeric form in solution which can be converted to the most active tetrameric form by the addition of thiol reducers.		i						0.35	https://doi.org/10.1016/j.ijbiomac.2024.130438			2735	https://doi.org/10.1016/j.ijbiomac.2024.130438			1595	https://doi.org/10.1016/j.ijbiomac.2024.130438		
ESP	1-2-5	/html-files/class1-family5.html				-				F0TGT0	https://www.uniprot.org/uniprotkb/F0TGT0/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Lactobacillus acidophilus				-				331				-									6.23	https://doi.org/10.26502/jbb.2642-91280015							0.51	https://doi.org/10.26502/jbb.2642-91280015		
ESP	1-2-5	/html-files/class1-family5.html				-				A0AAD1ETD3	https://www.uniprot.org/uniprotkb/A0AAD1ETD3/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Lactobacillus casei				-				324				-									0.0123	https://doi.org/10.1007/s12088-019-00806-0	Sequence may not be exact match	i								
ESP	1-2-5	/html-files/class1-family5.html				-				F9URL2	https://www.uniprot.org/uniprotkb/F9URL2/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Lactobacillus plantarum				-				324				-									7.85	https://doi.org/10.26502/jbb.2642-91280015							2.33	https://doi.org/10.26502/jbb.2642-91280015		
ESP	1-2-5	/html-files/class1-family5.html				-				Q38YS9	https://www.uniprot.org/uniprotkb/Q38YS9/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Latilactobacillus sakei				-				324				Homo dimer	Determined by gel filtration		i						7.64	https://doi.org/10.26502/jbb.2642-91280015							4.09	https://doi.org/10.26502/jbb.2642-91280015		
ESP	1-2-5	/html-files/class1-family5.html				-				I6ZQC6	https://www.uniprot.org/uniprotkb/I6ZQC6/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Melioribacter roseus				-				326				-									2.7	https://doi.org/10.3390/catal13050832			163	https://doi.org/10.3390/catal13050832			96	https://doi.org/10.3390/catal13050832		
ESP	1-2-5	/html-files/class1-family5.html				-	brenda-enzymes.org, archived id J9H7D1		i	A0A9X4QZ02	https://www.uniprot.org/uniprotkb/A0A9X4QZ02/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Staphylococcus sp.				-				324				Homo dimer	Size-exclusion chromatography determined		i						2.2	https://doi.org/10.4014/jmb.1405.05021							4.65	https://doi.org/10.4014/jmb.1405.05021		
ESP	1-2-5	/html-files/class1-family5.html				-				A0A062WR39	https://www.uniprot.org/uniprotkb/A0A062WR39/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Streptococcus pneumoniae				-				320				Monomer	Context unknown, paper to be published		i	9D91	https://www.rcsb.org/structure/9D91		Paper to be published	i												
ESP	1-2-5	/html-files/class1-family5.html				-				Q5M2S9	https://www.uniprot.org/uniprotkb/Q5M2S9/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Streptococcus thermophilus				-				322				-									2.34	https://doi.org/10.26502/jbb.2642-91280015							101	https://doi.org/10.26502/jbb.2642-91280015		
ESP	1-2-6	/html-files/class1-family6.html				-				A0A1X1VDM8	https://www.uniprot.org/uniprotkb/A0A1X1VDM8/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Mycobacterium gordonae				-				312				-									6.025	https://doi.org/10.3390/foods10112819							194.8	https://doi.org/10.3390/foods10112819		
ESP	1-2-6	/html-files/class1-family6.html				-				A0QX50	https://www.uniprot.org/uniprotkb/A0QX50/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Mycobacterium smegmatis				-				320				-									1.403	https://doi.org/10.1021/acsomega.4c06459							708.1	https://doi.org/10.1021/acsomega.4c06459		
ESP	1-2-6	/html-files/class1-family6.html				-				P9WPX5	https://www.uniprot.org/uniprotkb/P9WPX5/entry				ASPG_MYCTU				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Mycobacterium tuberculosis	(strain ATCC 25618 / H37Rv), identical to P9WPX4		i	Secreted				315				Dimer									0.38 8.3 19.57	https://doi.org/10.1016/j.biochi.2020.12.023			74.08 797.7 1587.7	https://doi.org/10.1016/j.biochi.2020.12.023			80.7 869.4 1732.5	https://doi.org/10.1016/j.biochi.2020.12.023		
ESP	1-4-10	/html-files/class1-family10.html				-				Q2RMX1	https://www.uniprot.org/uniprotkb/Q2RMX1/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Rhodospirillum rubrum				-				172				Homo tetramer	Specific tetrameric structure, as this family lacks the C-terminal stabilizing domain present in the other Class 1 families		i	8UOO	https://www.rcsb.org/structure/8UOO	https://www.uniprot.org/uniprotkb/Q2RMX1/entry#structure			2.9;3.6;0.280	https://doi.org/10.1002/pro.4920;https://doi.org/10.1002/pro.4920;https://doi.org/10.1007/s12033-014-9819-0	Later results indicate a millimolar Km	i					57.1;58.2	https://doi.org/10.1002/pro.4920;https://doi.org/10.1002/pro.4920		
ESP	1-4-11	/html-files/class1-family11.html				-				R4L284	https://www.uniprot.org/uniprotkb/R4L284/entry	Uncertain if sequence and kinetics data match. As presented, the protein lacks the critical conserved Motif 1.		!					3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus licheniformis				-				272				-									0.671	https://doi.org/10.1007/s12010-014-1200-z	As presented, the protein lacks the critical conserved Motif 1	!					36.8	https://doi.org/10.1007/s12010-014-1200-z	As presented, the protein lacks the critical conserved Motif 1	!
ESP	1-4-11	/html-files/class1-family11.html				-				A0A6G7ABJ6	https://www.uniprot.org/uniprotkb/A0A6G7ABJ6/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus sonorensis				-				329				-									2.004	https://doi.org/10.1007/s10930-020-09932-x										
ESP	1-4-11	/html-files/class1-family11.html				-				P26900	https://www.uniprot.org/uniprotkb/P26900/entry				ASPG1_BACSU				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus subtilis				Cytoplasm				329				-									1.579	https://doi.org/10.1007/s10123-024-00493-y	Sequence may not be exact match	i								
ESP	1-4-11	/html-files/class1-family11.html				-				A0A291B5A4	https://www.uniprot.org/uniprotkb/A0A291B5A4/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Bacillus tequilensis				-				329				-									0.070	https://doi.org/10.1038/s41598-018-36161-1										
ESP	1-4-11	/html-files/class1-family11.html				-				A5VMR3	https://www.uniprot.org/uniprotkb/A5VMR3/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Lactobacillus reuteri				-				329				-									0.3332	https://doi.org/10.1007/s13205-017-0974-4	Sequence may not be exact match	i								
ESP	1-4-11	/html-files/class1-family11.html				-				A0A0R2I8I9	https://www.uniprot.org/uniprotkb/A0A0R2I8I9/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Limosilactobacillus secaliphilus				-				333				-									4.78	https://doi.org/10.1007/s12010-023-04715-3							887	https://doi.org/10.1007/s12010-023-04715-3		
ESP	1-4-11	/html-files/class1-family11.html				-				Q8TZE8	https://www.uniprot.org/uniprotkb/Q8TZE8/entry				ASPG_PYRFU				3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pyrococcus furiosus				-				326				Homo dimer / tetramer	Temperature dependent		i	5CBP	https://www.rcsb.org/structure/5CBP	https://www.uniprot.org/uniprotkb/Q8TZE8/entry#structure			12	https://doi.org/10.1134/s0006297910030144							870	https://doi.org/10.1134/s0006297910030144		
ESP	1-4-11	/html-files/class1-family11.html				PhA				O57797	https://www.uniprot.org/uniprotkb/O57797/entry								3.5.1.1	https://enzyme.expasy.org/EC/3.5.1.1				Pyrococcus horikoshii				-				328				Homo dimer				1WLS	https://www.rcsb.org/structure/1WLS	https://www.uniprot.org/uniprotkb/O57797/entry#structure														
